gene,methylation_expr_corr,scaling_factor,modulation_type
DPY19L2,-0.15769291,0.8423071,suppression
DPY19L2P2,0.09083798,1.090838,enhancement
DPY19L2P4,-0.081402555,0.91859746,suppression
DPY19L3,-0.004037407,0.9959626,suppression
DPY19L4,0.02401401,1.024014,enhancement
DPY30,0.0046018483,1.0046018,enhancement
DPYSL2,-0.019731604,0.9802684,suppression
DPYSL3,-0.092023164,0.90797687,suppression
DPYSL5,0.082478456,1.0824784,enhancement
DRAP1,0.1073678,1.1073678,enhancement
DRAXIN,-0.09391454,0.9060855,suppression
DRC1,-0.08387618,0.9161238,suppression
DRD2,-0.038458463,0.96154153,suppression
DRD4,-0.018197656,0.98180234,suppression
DRD5,-0.0027726342,0.9972274,suppression
DRG2,-0.07195374,0.9280462,suppression
DROSHA,0.064204395,1.0642045,enhancement
DSC3,-0.23177078,0.76822925,suppression
DSCAM,0.09513596,1.0951359,enhancement
DSCAML1,-0.06669304,0.93330693,suppression
DSCC1,0.0126764225,1.0126765,enhancement
DSE,-0.073136255,0.92686373,suppression
DSN1,0.0186477,1.0186477,enhancement
DSTYK,0.009428183,1.0094281,enhancement
DTD1,-0.122043274,0.87795675,suppression
DTD2,-0.065698534,0.9343015,suppression
DTNA,0.20501088,1.2050109,enhancement
DTNB,0.057534046,1.0575341,enhancement
DTNBP1,-0.0021379127,0.9978621,suppression
DTWD1,-0.04541633,0.95458364,suppression
DTWD2,0.022902213,1.0229023,enhancement
DTX1,-0.15908198,0.840918,suppression
DTX3L,0.057341576,1.0573416,enhancement
DTX4,-0.020665722,0.9793343,suppression
DTYMK,-0.035732307,0.9642677,suppression
DUOX1,-0.18266338,0.8173366,suppression
DUOX2,-0.023115406,0.9768846,suppression
DUOXA1,-0.27440703,0.725593,suppression
DUS1L,-0.018426728,0.9815733,suppression
DUS2,0.044358335,1.0443584,enhancement
DUSP1,-0.02377077,0.97622925,suppression
DUSP10,-0.07057524,0.92942476,suppression
DUSP11,-0.039970197,0.9600298,suppression
DUSP12,0.0060991654,1.0060992,enhancement
DUSP13,-0.10226786,0.89773214,suppression
DUSP15,-0.019914612,0.9800854,suppression
DUSP16,0.0044096163,1.0044097,enhancement
DUSP2,-0.09954404,0.90045595,suppression
DUSP22,-0.025989084,0.97401094,suppression
DUSP23,-0.00054085534,0.99945915,suppression
DUSP3,0.04277258,1.0427725,enhancement
DUSP4,-0.06959558,0.9304044,suppression
DUSP5,0.0067653563,1.0067654,enhancement
DUSP7,-0.015916724,0.9840833,suppression
DUSP8,0.05186275,1.0518627,enhancement
DUSP9,-0.050147653,0.94985235,suppression
DUT,0.026369553,1.0263696,enhancement
DVL3,0.0146387415,1.0146388,enhancement
DXO,0.029845512,1.0298455,enhancement
DYNC1H1,-0.0875025,0.9124975,suppression
DYNC1I2,-0.054296974,0.945703,suppression
DYNC1LI2,0.10416818,1.1041682,enhancement
DYNLL1,-0.048784394,0.9512156,suppression
DYNLRB2,-0.04804453,0.9519555,suppression
DYNLT1,-0.005571603,0.9944284,suppression
DYRK1A,-0.009539909,0.9904601,suppression
DYRK2,0.07817684,1.0781769,enhancement
DYRK3,-0.029942129,0.97005785,suppression
DZANK1,0.074787945,1.074788,enhancement
DZIP1L,-0.0637956,0.93620443,suppression
DZIP3,0.022380223,1.0223802,enhancement
E2F2,-0.004843066,0.99515694,suppression
E2F5,-0.0017691313,0.9982309,suppression
E2F6,-0.09679015,0.90320987,suppression
E2F7,-0.015192228,0.9848078,suppression
E2F8,-0.024539445,0.9754605,suppression
EAF1,0.013422778,1.0134227,enhancement
EARS2,0.041642662,1.0416427,enhancement
EBAG9,0.005336757,1.0053368,enhancement
EBNA1BP2,-0.06402381,0.9359762,suppression
EBPL,-0.15096967,0.8490303,suppression
ECD,-0.021797443,0.9782026,suppression
ECE1,0.046720587,1.0467206,enhancement
ECEL1,-0.16436043,0.8356396,suppression
ECHDC3,-0.17148711,0.8285129,suppression
ECHS1,0.024343163,1.0243431,enhancement
ECI2,-0.09937846,0.90062153,suppression
ECSIT,0.070103176,1.0701032,enhancement
ECT2,0.03320155,1.0332016,enhancement
ECT2L,-0.03579093,0.9642091,suppression
EDARADD,-0.2557831,0.7442169,suppression
EDEM1,0.026378745,1.0263788,enhancement
EDEM2,0.0027613204,1.0027614,enhancement
EDIL3,-0.0758955,0.9241045,suppression
EDN1,-0.1662699,0.8337301,suppression
EDRF1,-0.063638665,0.9363613,suppression
EEA1,-0.03967862,0.96032137,suppression
EEF1A1,-0.052826874,0.9471731,suppression
EEF1A2,0.23872207,1.2387221,enhancement
EEF1B2,-0.062951535,0.93704844,suppression
EEF1D,-0.015679574,0.9843204,suppression
EEF1DP3,0.05694605,1.056946,enhancement
EEF1E1,-0.10084393,0.8991561,suppression
EEF1G,-0.043923393,0.9560766,suppression
EEF2,0.049690936,1.049691,enhancement
EFCAB12,-0.08084095,0.91915905,suppression
EFCAB13,0.0041586678,1.0041586,enhancement
EFCAB14,0.060963083,1.060963,enhancement
EFCAB6,-0.13504472,0.8649553,suppression
EFCC1,-0.21333277,0.7866672,suppression
EFEMP2,-0.066512175,0.93348783,suppression
EFHC1,0.022505064,1.022505,enhancement
EFHD2,0.051899526,1.0518996,enhancement
EFNA2,-0.0014653719,0.9985346,suppression
EFNA3,-0.044279728,0.95572025,suppression
EFNA5,0.0007849943,1.000785,enhancement
EFNB2,-0.14056781,0.8594322,suppression
EFNB3,-0.23330092,0.7666991,suppression
EFR3A,0.02104824,1.0210482,enhancement
EFS,-0.47967038,0.5203296,suppression
EFTUD2,0.027169436,1.0271695,enhancement
EGFL7,-0.06872507,0.93127495,suppression
EGFR,-0.23941047,0.76058954,suppression
EGLN2,0.03751835,1.0375184,enhancement
EGLN3,-0.0065700696,0.99342996,suppression
EGR1,-0.09019183,0.90980816,suppression
EGR3,0.039955765,1.0399557,enhancement
EGR4,-0.004443031,0.99555695,suppression
EHD3,0.0135479495,1.0135479,enhancement
EHD4,0.072766684,1.0727667,enhancement
EHHADH,-0.23793624,0.76206374,suppression
EHMT1,-0.034740534,0.9652595,suppression
EI24,0.012913012,1.012913,enhancement
EID1,-0.13216603,0.867834,suppression
EIF1B,-0.016829306,0.9831707,suppression
EIF2A,-0.06293658,0.9370634,suppression
EIF2AK2,0.103107296,1.1031073,enhancement
EIF2AK4,0.08562595,1.0856259,enhancement
EIF2B2,-0.011044392,0.9889556,suppression
EIF2B4,0.031093355,1.0310934,enhancement
EIF2S1,0.029229222,1.0292292,enhancement
EIF2S2,-0.0067594848,0.99324054,suppression
EIF2S3,-0.090536974,0.90946305,suppression
EIF3D,0.033806156,1.0338062,enhancement
EIF3G,0.014092057,1.0140921,enhancement
EIF3I,-0.04070289,0.9592971,suppression
EIF3J,-0.10575361,0.8942464,suppression
EIF3K,-0.037687987,0.962312,suppression
EIF3L,-0.0405624,0.9594376,suppression
EIF4A1,-0.06997503,0.930025,suppression
EIF4A3,-0.037768736,0.9622313,suppression
EIF4B,0.016310386,1.0163103,enhancement
EIF4E1B,-0.013835916,0.9861641,suppression
EIF4E2,-0.037680525,0.9623195,suppression
EIF4E3,0.014695064,1.014695,enhancement
EIF4EBP1,-2.7727849e-05,0.9999723,suppression
EIF4EBP2,-0.050080866,0.9499191,suppression
EIF4EBP3,-0.026159357,0.97384065,suppression
EIF4ENIF1,0.06265706,1.0626571,enhancement
EIF4G2,-0.044260986,0.955739,suppression
EIF4G3,-0.024051182,0.9759488,suppression
EIF4H,-0.08997807,0.9100219,suppression
EIF5,0.04997896,1.049979,enhancement
EIF5A,0.008589675,1.0085896,enhancement
EIF5A2,-0.2661643,0.7338357,suppression
EIF6,-3.686666e-05,0.9999631,suppression
ELAC1,-0.049919516,0.9500805,suppression
ELAC2,0.033785015,1.033785,enhancement
ELAVL1,0.06240019,1.0624002,enhancement
ELK3,-0.008088585,0.9919114,suppression
ELL,0.02298458,1.0229846,enhancement
ELL2,0.0018112669,1.0018113,enhancement
ELMO3,-0.32899216,0.6710079,suppression
ELMOD1,-0.017909337,0.98209065,suppression
ELMOD3,0.026503116,1.0265031,enhancement
ELMSAN1,0.035592448,1.0355924,enhancement
ELN,-0.20509584,0.7949042,suppression
ELOF1,0.006797128,1.0067971,enhancement
ELOVL1,-0.0058622933,0.9941377,suppression
ELOVL2,-0.3747732,0.6252268,suppression
ELOVL4,-0.29663718,0.7033628,suppression
ELOVL5,-0.067925364,0.93207467,suppression
ELOVL6,-0.09362543,0.9063746,suppression
ELP2,0.03494218,1.0349422,enhancement
ELP3,0.13141218,1.1314121,enhancement
ELP5,-0.01246889,0.9875311,suppression
ELP6,0.05971524,1.0597153,enhancement
EMC1,0.012674174,1.0126742,enhancement
EMC10,0.031374793,1.0313748,enhancement
EMC4,-0.063105606,0.9368944,suppression
EMC6,-0.11415072,0.8858493,suppression
EMC7,-0.02917638,0.97082365,suppression
EMC8,-0.027881602,0.9721184,suppression
EMD,-0.07594611,0.9240539,suppression
EME2,0.008742135,1.0087421,enhancement
EMID1,-0.05733947,0.9426605,suppression
EML1,-0.21175182,0.7882482,suppression
EML5,-0.004316575,0.99568343,suppression
EML6,0.039123487,1.0391235,enhancement
EMP2,-0.06722636,0.93277365,suppression
EMP3,-0.15645073,0.84354925,suppression
EMX1,0.0372666,1.0372666,enhancement
EMX2OS,0.0069724643,1.0069724,enhancement
ENAH,-0.030417772,0.9695822,suppression
ENC1,0.014185925,1.0141859,enhancement
ENDOD1,-0.052760098,0.9472399,suppression
ENDOV,0.0040409667,1.004041,enhancement
ENGASE,-0.06845083,0.9315492,suppression
ENKD1,-0.21453667,0.78546333,suppression
ENO1,-0.0056614894,0.9943385,suppression
ENO2,-0.1480976,0.85190237,suppression
ENO4,-0.058827076,0.9411729,suppression
ENOPH1,-0.03282428,0.9671757,suppression
ENOSF1,-0.0152175855,0.9847824,suppression
ENOX1,-0.04907491,0.9509251,suppression
ENPP1,0.01277972,1.0127797,enhancement
ENPP4,-0.15625721,0.8437428,suppression
ENPP5,-0.11997411,0.88002586,suppression
ENSA,-0.097300746,0.90269923,suppression
ENTHD1,0.025980113,1.0259801,enhancement
ENTPD1,-0.043905415,0.95609456,suppression
ENTPD2,-0.19791509,0.8020849,suppression
ENTPD3,0.012074435,1.0120745,enhancement
ENTPD5,0.024549128,1.0245491,enhancement
ENTPD6,0.011746957,1.011747,enhancement
ENTPD7,0.026123812,1.0261238,enhancement
ENTPD8,-0.09299588,0.9070041,suppression
ENY2,-0.013273313,0.9867267,suppression
EOGT,-0.004919204,0.99508077,suppression
EOMES,-0.023848932,0.97615105,suppression
EP300,0.097174235,1.0971743,enhancement
EP400,0.022280533,1.0222806,enhancement
EP400NL,0.039534584,1.0395346,enhancement
EPAS1,-0.029012818,0.9709872,suppression
EPB41,-0.024208996,0.975791,suppression
EPB41L1,0.032849528,1.0328496,enhancement
EPB41L4A,-0.12811057,0.8718894,suppression
EPB41L4B,-0.042753633,0.95724636,suppression
EPB41L5,0.067644835,1.0676448,enhancement
EPC1,0.0027517637,1.0027517,enhancement
EPC2,0.018785423,1.0187855,enhancement
EPDR1,-0.21368054,0.7863195,suppression
EPG5,0.10363587,1.1036359,enhancement
EPHA1,-0.0800122,0.9199878,suppression
EPHA2,-0.0031580024,0.996842,suppression
EPHA4,-0.18279621,0.81720376,suppression
EPHA5,-0.04309665,0.95690334,suppression
EPHA6,-0.022310087,0.9776899,suppression
EPHA7,-0.0066335313,0.9933665,suppression
EPHA8,-0.04575871,0.9542413,suppression
EPHB2,-0.012497784,0.9875022,suppression
EPHB3,0.0154771535,1.0154772,enhancement
EPHB6,0.02171776,1.0217178,enhancement
EPHX2,-0.22740275,0.77259725,suppression
EPM2A,0.059371475,1.0593715,enhancement
EPS15L1,0.03576426,1.0357642,enhancement
EPS8L2,-0.08424403,0.915756,suppression
ERAP1,-0.015508991,0.984491,suppression
ERAS,-0.005419846,0.99458015,suppression
ERBB2,0.07227715,1.0722772,enhancement
ERBB4,-0.014179413,0.9858206,suppression
ERCC1,-0.102099605,0.8979004,suppression
ERCC2,0.0019906342,1.0019907,enhancement
ERCC4,0.021553425,1.0215534,enhancement
ERCC5,0.05580004,1.0558001,enhancement
ERCC8,-0.03590649,0.9640935,suppression
EREG,-0.02304483,0.9769552,suppression
ERF,-0.036339615,0.96366036,suppression
ERGIC3,-0.07979799,0.920202,suppression
ERI2,0.0046698195,1.0046698,enhancement
ERICH1,0.035548117,1.0355481,enhancement
ERICH6,-0.0080004,0.9919996,suppression
ERLIN1,-0.0394789,0.9605211,suppression
ERLIN2,0.08492392,1.084924,enhancement
ERMARD,0.051032923,1.0510329,enhancement
ERMP1,0.0507553,1.0507553,enhancement
ERN1,-0.014519458,0.98548055,suppression
ERN2,-0.01791255,0.98208743,suppression
ERP29,0.0031733606,1.0031734,enhancement
ERP44,0.07010952,1.0701095,enhancement
ERRFI1,-0.17496276,0.82503724,suppression
ERVFRD-1,-0.0020118868,0.9979881,suppression
ESD,-0.0039158654,0.99608415,suppression
ESPL1,-0.024322225,0.9756778,suppression
ESPN,-0.18935153,0.81064844,suppression
ESR2,-0.032804828,0.96719515,suppression
ESRP2,-0.039320003,0.96068,suppression
ESRRA,-0.011781136,0.98821884,suppression
ESRRG,-0.06971644,0.93028355,suppression
ESYT2,0.093482204,1.0934823,enhancement
ETFA,-0.15767275,0.84232724,suppression
ETFB,-0.24311489,0.7568851,suppression
ETFDH,0.023934219,1.0239342,enhancement
ETHE1,-0.021231204,0.9787688,suppression
ETNK1,-0.017036874,0.98296314,suppression
ETNK2,-0.09321128,0.9067887,suppression
ETS2,-0.018221768,0.9817782,suppression
ETV1,-0.034840517,0.9651595,suppression
ETV3,0.13249455,1.1324946,enhancement
ETV4,-0.003782709,0.9962173,suppression
ETV5,-0.119169846,0.88083017,suppression
ETV6,0.047357183,1.0473572,enhancement
ETV7,-0.3368591,0.6631409,suppression
EVA1B,-0.0060867416,0.99391323,suppression
EVA1C,-0.095475204,0.9045248,suppression
EVC2,-0.020925697,0.9790743,suppression
EWSR1,0.05481122,1.0548112,enhancement
EXD1,0.0078116735,1.0078117,enhancement
EXD2,-0.020566653,0.97943336,suppression
EXD3,0.03060897,1.030609,enhancement
EXO1,-0.052387573,0.9476124,suppression
EXO5,0.08595481,1.0859548,enhancement
EXOC1,0.01322291,1.0132229,enhancement
EXOC2,-0.1342027,0.8657973,suppression
EXOC3,0.0053242524,1.0053242,enhancement
EXOC3L2,0.034309667,1.0343096,enhancement
EXOC5,0.019077582,1.0190775,enhancement
EXOC6,0.003815214,1.0038152,enhancement
EXOG,0.048682835,1.0486828,enhancement
EXOSC1,-0.0101993615,0.98980063,suppression
EXOSC3,-0.09486542,0.90513456,suppression
EXOSC4,0.029353864,1.0293539,enhancement
EXOSC5,0.0117743425,1.0117743,enhancement
EXOSC7,0.030940706,1.0309407,enhancement
EXT1,0.07319032,1.0731903,enhancement
EXT2,-0.031089628,0.9689104,suppression
EXTL2,-0.01660046,0.9833995,suppression
EXTL3,0.07210373,1.0721037,enhancement
EYA3,-0.007733221,0.9922668,suppression
EZH2,-0.0009366403,0.9990634,suppression
EZR,0.069845155,1.0698452,enhancement
F10,-0.17725714,0.8227429,suppression
F2R,-0.055061053,0.94493896,suppression
F2RL3,-0.031795118,0.96820486,suppression
FAAH,-0.23696266,0.7630373,suppression
FABP5,-0.32593492,0.6740651,suppression
FADD,0.058131706,1.0581317,enhancement
FADS1,-0.24371396,0.756286,suppression
FADS2,-0.19059597,0.809404,suppression
FADS3,-0.05754639,0.9424536,suppression
FAF1,-0.031530887,0.96846914,suppression
FAHD2B,-0.028507203,0.97149277,suppression
FAIM,-0.054282203,0.9457178,suppression
FAM104A,0.0146608185,1.0146608,enhancement
FAM104B,-0.051064033,0.948936,suppression
FAM107B,0.08513399,1.085134,enhancement
FAM110A,0.055055443,1.0550555,enhancement
FAM110B,-0.11085725,0.88914275,suppression
FAM111A,0.029852381,1.0298524,enhancement
FAM114A1,-0.074023664,0.92597634,suppression
FAM117A,-0.024255283,0.9757447,suppression
FAM117B,0.07426448,1.0742645,enhancement
FAM118A,-0.0055228253,0.99447715,suppression
FAM118B,-0.13037984,0.86962014,suppression
FAM120A,0.033485066,1.033485,enhancement
FAM120C,-0.047171973,0.95282805,suppression
FAM124A,0.01322284,1.0132228,enhancement
FAM131A,-0.020944655,0.97905535,suppression
FAM131B,-0.015026372,0.9849736,suppression
FAM131C,-0.040873975,0.959126,suppression
FAM133DP,-0.08903615,0.91096383,suppression
FAM135B,-0.0057595894,0.9942404,suppression
FAM13C,-0.055871345,0.94412863,suppression
FAM149A,-0.17437881,0.8256212,suppression
FAM149B1,-0.014511431,0.9854886,suppression
FAM151B,-0.08653826,0.91346174,suppression
FAM160A2,0.056829374,1.0568293,enhancement
FAM160B1,0.023605669,1.0236057,enhancement
FAM161B,-0.024795165,0.9752048,suppression
FAM163A,0.09353607,1.093536,enhancement
FAM166A,0.046907768,1.0469078,enhancement
FAM166B,-0.058885176,0.94111484,suppression
FAM168A,-0.008317082,0.99168295,suppression
FAM168B,0.08815489,1.0881549,enhancement
FAM169A,-0.091821186,0.9081788,suppression
FAM171A1,-0.26478064,0.73521936,suppression
FAM171A2,-0.004132609,0.9958674,suppression
FAM171B,-0.021236673,0.97876334,suppression
FAM172A,-0.12427324,0.87572676,suppression
FAM178B,-0.08188671,0.9181133,suppression
FAM181A,-0.0092698885,0.9907301,suppression
FAM183A,-0.056401867,0.94359815,suppression
FAM186A,-0.004810103,0.9951899,suppression
FAM193A,0.05183128,1.0518312,enhancement
FAM193B,0.118966095,1.1189661,enhancement
FAM200B,-0.008768832,0.99123114,suppression
FAM201A,-0.0195959,0.9804041,suppression
FAM204A,-0.00017934247,0.99982065,suppression
FAM20B,0.04918217,1.0491822,enhancement
FAM20C,-0.17513028,0.82486975,suppression
FAM210A,-0.05171861,0.9482814,suppression
FAM210B,-0.0030701256,0.9969299,suppression
FAM216A,-0.049013596,0.9509864,suppression
FAM217A,0.034720708,1.0347207,enhancement
FAM217B,0.03718308,1.037183,enhancement
FAM219A,0.02323548,1.0232354,enhancement
FAM21C,0.025521832,1.0255219,enhancement
FAM21EP,0.03509649,1.0350965,enhancement
FAM221A,-0.13107313,0.8689269,suppression
FAM221B,0.009317362,1.0093174,enhancement
FAM222A,0.059013177,1.0590131,enhancement
FAM222B,0.04512204,1.045122,enhancement
FAM227A,0.030312218,1.0303122,enhancement
FAM227B,0.021907467,1.0219074,enhancement
FAM229B,0.044091668,1.0440917,enhancement
FAM24B,-0.3213239,0.6786761,suppression
FAM47A,0.0017930968,1.0017931,enhancement
FAM47B,0.05641767,1.0564177,enhancement
FAM50A,-0.06347023,0.93652976,suppression
FAM50B,-0.27327648,0.72672355,suppression
FAM53A,-0.007346328,0.99265367,suppression
FAM53B,0.09839778,1.0983977,enhancement
FAM63A,0.008505072,1.0085051,enhancement
FAM69A,0.01873138,1.0187314,enhancement
FAM69B,-0.00956294,0.99043703,suppression
FAM69C,-0.010080572,0.9899194,suppression
FAM76B,0.047041353,1.0470413,enhancement
FAM78A,-0.033142705,0.9668573,suppression
FAM78B,-0.08851164,0.91148835,suppression
FAM83B,-0.12823634,0.87176365,suppression
FAM83C,-0.026043942,0.97395605,suppression
FAM83D,-0.105287276,0.89471275,suppression
FAM83F,-0.054856006,0.945144,suppression
FAM83G,0.022956435,1.0229565,enhancement
FAM86C1,0.029227765,1.0292277,enhancement
FAM86C2P,0.027238311,1.0272384,enhancement
FAM86EP,-0.03351952,0.9664805,suppression
FAM8A1,-0.05144164,0.94855833,suppression
FAM91A1,-0.033253063,0.9667469,suppression
FAM98C,-0.00052901293,0.999471,suppression
FAN1,0.08478996,1.08479,enhancement
FANCA,-0.01415353,0.98584646,suppression
FANCB,-0.07731536,0.92268467,suppression
FANCC,0.045193445,1.0451934,enhancement
FANCD2,0.008774676,1.0087746,enhancement
FANCL,-0.029418597,0.9705814,suppression
FANCM,0.010911963,1.010912,enhancement
FANK1,0.0054898416,1.0054898,enhancement
FAR1,0.04879157,1.0487915,enhancement
FAR2P2,0.010022629,1.0100226,enhancement
FARP1,-0.022499485,0.9775005,suppression
FARS2,-0.018802281,0.9811977,suppression
FASTK,-0.04216689,0.9578331,suppression
FASTKD3,-0.058924858,0.94107515,suppression
FASTKD5,-0.069433846,0.93056613,suppression
FAT4,-0.054383863,0.9456161,suppression
FAU,-0.052114516,0.9478855,suppression
FBF1,-0.0010858485,0.9989141,suppression
FBLIM1,-0.2704616,0.72953844,suppression
FBLL1,-0.17357326,0.82642674,suppression
FBLN1,-0.005494461,0.9945055,suppression
FBLN2,-0.14660743,0.8533926,suppression
FBN1,-0.026789632,0.9732104,suppression
FBN2,-0.13961133,0.86038864,suppression
FBN3,-0.0036787307,0.99632126,suppression
FBRS,0.12987515,1.1298752,enhancement
FBRSL1,0.013540528,1.0135405,enhancement
FBXL14,0.0074093193,1.0074093,enhancement
FBXL17,-0.038429108,0.9615709,suppression
FBXL19,6.807834e-05,1.0000681,enhancement
FBXL20,0.044595856,1.0445958,enhancement
FBXL4,0.00015819531,1.0001582,enhancement
FBXL5,-0.041242052,0.95875794,suppression
FBXL6,0.07683299,1.076833,enhancement
FBXL7,-0.12724477,0.8727552,suppression
FBXL8,-0.016988128,0.98301184,suppression
FBXO10,0.018762186,1.0187622,enhancement
FBXO15,0.011292326,1.0112923,enhancement
FBXO21,0.00043957093,1.0004395,enhancement
FBXO24,-0.022262372,0.9777376,suppression
FBXO25,0.04876162,1.0487616,enhancement
FBXO28,-0.053881496,0.9461185,suppression
FBXO3,0.00024421143,1.0002443,enhancement
FBXO30,-0.013475123,0.9865249,suppression
FBXO31,0.0976328,1.0976328,enhancement
FBXO32,-0.039254673,0.96074533,suppression
FBXO33,0.01137351,1.0113735,enhancement
FBXO34,-0.030029062,0.96997094,suppression
FBXO39,0.06809891,1.0680989,enhancement
FBXO41,-0.057248674,0.94275135,suppression
FBXO42,-0.011177593,0.9888224,suppression
FBXO43,0.030406464,1.0304065,enhancement
FBXO44,-0.12303476,0.8769652,suppression
FBXO46,-0.00073041505,0.9992696,suppression
FBXO47,-0.017954879,0.9820451,suppression
FBXO48,0.096486785,1.0964868,enhancement
FBXO5,-0.0069213007,0.9930787,suppression
FBXO6,-0.08530536,0.91469467,suppression
FBXO7,-0.06720566,0.93279433,suppression
FBXO8,-0.09990517,0.9000948,suppression
FBXO9,0.0017127731,1.0017128,enhancement
FBXW11,-0.026358536,0.97364146,suppression
FBXW5,-0.028653657,0.9713463,suppression
FBXW7,0.11571503,1.115715,enhancement
FCER1G,-0.16113354,0.8388665,suppression
FCGRT,-0.24765411,0.7523459,suppression
FCHSD1,-0.22857076,0.77142924,suppression
FCHSD2,0.08003869,1.0800387,enhancement
FDPS,0.07878074,1.0787808,enhancement
FDX1,-0.0070096534,0.9929904,suppression
FDXR,-0.009653663,0.9903463,suppression
FEM1A,0.10297628,1.1029763,enhancement
FEN1,0.0060322974,1.0060323,enhancement
FERMT2,-0.029442979,0.97055703,suppression
FEV,0.019423295,1.0194232,enhancement
FEZF2,-0.027226059,0.97277397,suppression
FFAR1,-0.0037572663,0.99624276,suppression
FGD3,-0.12410219,0.8758978,suppression
FGD5,0.010153648,1.0101537,enhancement
FGF1,-0.01623021,0.9837698,suppression
FGF11,-0.42057413,0.5794259,suppression
FGF13,0.01708476,1.0170847,enhancement
FGF14,-0.06857558,0.93142444,suppression
FGF18,0.02188425,1.0218842,enhancement
FGF19,-0.0051956275,0.9948044,suppression
FGF2,-0.3179054,0.6820946,suppression
FGF22,-0.045949228,0.9540508,suppression
FGF4,0.036240164,1.0362402,enhancement
FGF6,-0.0026196712,0.9973803,suppression
FGF8,0.022129385,1.0221294,enhancement
FGFR1,-0.00091539137,0.9990846,suppression
FGFR1OP,0.0384318,1.0384318,enhancement
FGFR2,-0.08657715,0.9134228,suppression
FGFR3,-0.0867219,0.9132781,suppression
FGFRL1,-0.03591371,0.9640863,suppression
FGGY,-0.042396285,0.9576037,suppression
FH,-0.006397015,0.993603,suppression
FHIT,-0.019122371,0.98087764,suppression
FHL2,-0.13749489,0.8625051,suppression
FHOD1,0.07423136,1.0742314,enhancement
FIBCD1,0.040719222,1.0407193,enhancement
FICD,0.03812182,1.0381218,enhancement
FIG4,0.00032968872,1.0003297,enhancement
FIGLA,-0.057435635,0.94256437,suppression
FIGN,-0.0026977593,0.99730223,suppression
FIGNL1,-0.10536026,0.89463973,suppression
FILIP1L,-0.23084359,0.7691564,suppression
FIS1,0.11202242,1.1120224,enhancement
FITM2,0.0884495,1.0884495,enhancement
FIZ1,0.028134907,1.028135,enhancement
FKBP10,0.040021382,1.0400214,enhancement
FKBP11,-0.03099673,0.96900326,suppression
FKBP14,0.011442243,1.0114422,enhancement
FKBP2,-0.062494658,0.93750536,suppression
FKBP5,-0.08012151,0.9198785,suppression
FKBP8,-0.012893973,0.987106,suppression
FKBP9,-0.09423935,0.90576065,suppression
FKBPL,-0.034031224,0.9659688,suppression
FKRP,0.021909557,1.0219096,enhancement
FLCN,0.021675017,1.021675,enhancement
FLG,-0.0011590638,0.9988409,suppression
FLII,0.16405797,1.164058,enhancement
FLJ13224,-0.046499554,0.95350045,suppression
FLJ37453,0.013380871,1.0133809,enhancement
FLJ38576,0.048170235,1.0481702,enhancement
FLNA,0.008258418,1.0082585,enhancement
FLOT1,0.002817965,1.002818,enhancement
FLOT2,0.04267628,1.0426763,enhancement
FLRT2,-0.12682116,0.87317884,suppression
FLRT3,-0.048658915,0.9513411,suppression
FLT1,-0.00019114137,0.99980885,suppression
FLT3,-0.10012754,0.8998725,suppression
FLT3LG,-0.08763251,0.91236746,suppression
FLT4,0.016323986,1.016324,enhancement
FLVCR1,-0.034394544,0.96560544,suppression
FLYWCH1,0.004020422,1.0040205,enhancement
FMN1,-0.00031879652,0.9996812,suppression
FMNL1,-0.027940933,0.9720591,suppression
FMO5,-0.020167632,0.97983235,suppression
FN1,0.022530576,1.0225306,enhancement
FN3K,-0.062903255,0.9370967,suppression
FN3KRP,-0.028110797,0.9718892,suppression
FNBP4,0.05026006,1.0502601,enhancement
FNDC1,-0.103257984,0.896742,suppression
FNDC5,0.0051648775,1.0051649,enhancement
FNIP1,0.0031775814,1.0031775,enhancement
FNTA,-0.019760929,0.9802391,suppression
FOLH1,-0.07751281,0.9224872,suppression
FOS,-0.040825177,0.9591748,suppression
FOSB,-0.089449614,0.91055036,suppression
FOSL1,-0.04568678,0.9543132,suppression
FOXA3,-0.14606543,0.8539346,suppression
FOXB1,-0.012543117,0.98745686,suppression
FOXB2,0.022701498,1.0227015,enhancement
FOXC1,-0.04871026,0.9512897,suppression
FOXC2,-0.21641897,0.783581,suppression
FOXD2,-0.04919689,0.9508031,suppression
FOXD3,-0.045652106,0.9543479,suppression
FOXD4L1,0.21220824,1.2122083,enhancement
FOXE1,-0.036902145,0.9630979,suppression
FOXF1,-0.04157433,0.95842564,suppression
FOXF2,-0.13054368,0.8694563,suppression
FOXG1,0.011189467,1.0111895,enhancement
FOXI1,-0.18043363,0.81956637,suppression
FOXI2,-0.09413035,0.90586966,suppression
FOXI3,0.03273304,1.0327331,enhancement
FOXJ1,0.011337612,1.0113376,enhancement
FOXJ3,0.020163028,1.020163,enhancement
FOXK1,0.04843167,1.0484316,enhancement
FOXK2,0.041289613,1.0412896,enhancement
FOXL1,-0.016166456,0.98383355,suppression
FOXL2,-0.008097594,0.9919024,suppression
FOXM1,0.05325823,1.0532582,enhancement
FOXN3,-0.06514028,0.93485975,suppression
FOXN4,-0.0027014618,0.99729854,suppression
FOXO3,0.029331947,1.0293319,enhancement
FOXO4,0.030930327,1.0309303,enhancement
FOXP1,-0.013717368,0.98628265,suppression
FOXP4,0.047586173,1.0475862,enhancement
